id,name,count,parentId,image
all,Tất cả sản phẩm,37,,/images/banners/anhbia1.png
bowl-container,BOWL + CONTAINER,3,null,/images/bowl-container/hopgiay.png
paper-cup,PAPER CUP,8,null,/images/paper-cup/coc giay2.png
plastic-cup,PLASTIC CUP,0,null,/images/plastic-cup/pp-cup/ppcup1.png
plastic-roll,PLASTIC ROLL,2,null,/images/plastic-roll/cuontui.png
plate-tray,PLATE & TRAY,2,null,/images/plate-tray/dianhua.png
portion-cup,PORTION CUP,1,null,/images/portion-cup/portioncup.png
printed-products,PRINTED PRODUCTS,8,null,/images/printed-products/hopin2.png
straw,STRAW,4,null,/images/straw/straw1.png
lid-seal-film,LID & SEAL FILM,4,plastic-cup,/images/plastic-cup/lid-seal-film/nap1.png
pet-cup,PET CUP,1,plastic-cup,/images/plastic-cup/pet-cup/32pet1.png
pp-cup,PP CUP,4,plastic-cup,/images/plastic-cup/pp-cup/ppcup1.png
