id,name,price,category,description,material,Case_Pack,Pack_Size,capacity,image
9,Kraft Paper Cup,Contacts,paper-cup,Kraft Paper Cup 4oz-6oz-8oz-9oz-10oz-12oz-14oz-16oz-18oz 20oz-22oz,Paper,1000/Case,50pcs/pack,4oz-6oz-8oz-9oz-10oz-12oz-14oz-16oz-18oz 20oz-22oz,/images/paper_cup/kraft_paper_cup.png
15,Ripple Paper Cup,Contacts,paper-cup,Ripple Paper Cup 4oz-6oz-8oz-9oz-10oz-12oz-14oz-16oz-18oz 20oz-22oz,Paper,1000/Case,50pcs/pack,4oz-6oz-8oz-9oz-10oz-12oz-14oz-16oz-18oz 20oz-22oz,/images/paper_cup/ripple_paper_cup_.png
16,Single Double Wall Paper Cup,Contacts,paper-cup,Single Double Wall Paper Cup 4oz-6oz-8oz-9oz-10oz-12oz-14oz-16oz-18oz 20oz-22oz,Paper,1000/Case,50pcs/pack,4oz-6oz-8oz-9oz-10oz-12oz-14oz-16oz-18oz 20oz-22oz,/images/paper_cup/single__double_wall_paper_cup.png
1,PP Deli Container,Contacts,bowl-container,PP Deli Container 12oz-16oz-24oz-32oz,PP,1000/Case,50pcs/pack,12oz-16oz-24oz-32oz,/images/bowl_container/115-set_pp_deli_container_with_lid-_12oz-16oz-24oz-32oz_.png
2,PET Deli Container,Contacts,bowl-container,PET Deli Container 12oz-16oz-20oz-24oz-32oz,PET,1000/Case,50pcs/pack,12oz-16oz-20oz-24oz-32oz,/images/bowl_container/117-set_pet_deli_container_(12-16-20-24-32oz)_.png
3,Black PP Container,Contacts,bowl-container,Black PP Container 12oz-16oz-24oz-32oz,PP,1000/Case,50pcs/pack,12oz-16oz-24oz-32oz,/images/bowl_container/black_pp_container_(with_clear_lid)_.png
4,Clear Rectangular PP Container,Contacts,bowl-container,Clear Rectangular PP Container 12oz-16oz-24oz-32oz,PP,1000/Case,50pcs/pack,12oz-16oz-24oz-32oz,/images/bowl_container/clear_rectangular_pp_container_(with_lid).png
5,Clear Round PET Container,Contacts,bowl-container,Clear Round PET Container 12oz-16oz-24oz-32oz,PET,1000/Case,50pcs/pack,12oz-16oz-24oz-32oz,/images/bowl_container/clear_round_pet_container_(with_lid)_.png
6,Clear Round PP Container,Contacts,bowl-container,Clear Round PP Container 12oz-16oz-24oz-32oz,PP,1000/Case,50pcs/pack,12oz-16oz-24oz-32oz,/images/bowl_container/clear_round_pp_contaier_(with_lid)_.png
7,Kraft Paper Bowl 500ml-1300ml,Contacts,bowl-container,Kraft Paper Bowl 500ml-750ml-1000ml-1300ml,Paper,1000/Case,50pcs/pack,500ml-750ml-1000ml-1300ml,/images/bowl_container/paper_kraft_bowl_500ml-1300ml_(@150)_.png
8,Rectangular PP Container Black & Clear,Contacts,bowl-container,Rectangular PP Container Black & Clear 12oz-16oz-24oz-32oz,PP,1000/Case,50pcs/pack,12oz-16oz-24oz-32oz,/images/bowl_container/rectangular_pp_container_(with_lid)-_black&_clear.png
10,Paper Ice Cream Cup,Contacts,paper-cup,Paper Ice Cream Cup 4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,Paper,1000/Case,50pcs/pack,4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,/images/paper_cup/paper_ice_cream_cups.png
11,Print Paper Bowl,Contacts,paper-cup,Print Paper Bowl 4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,Paper,1000/Case,50pcs/pack,4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,/images/paper_cup/print_paper_bowl.png
12,Print Paper Bowl With Lid,Contacts,paper-cup,Print Paper Bowl With Lid 4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,Paper,1000/Case,50pcs/pack,4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,/images/paper_cup/print_paper_bowl_with_lid_1.png
13,Print Paper Cup,Contacts,paper-cup,Print Paper Cup 4oz-6oz-8oz-9oz-10oz-12oz-14oz-16oz-18oz 20oz-22oz,Paper,1000/Case,50pcs/pack,4oz-6oz-8oz-9oz-10oz-12oz-14oz-16oz-18oz 20oz-22oz,/images/paper_cup/print_paper_cup.png
14,Print Paper Cup With,Contacts,paper-cup,Print Paper Cup With 4oz-6oz-8oz-9oz-10oz-12oz-14oz-16oz-18oz 20oz-22oz,Paper,1000/Case,50pcs/pack,4oz-6oz-8oz-9oz-10oz-12oz-14oz-16oz-18oz 20oz-22oz,/images/paper_cup/print_paper_cup_with_.png
17,Artistic Curved Lid,Contacts,lid-seal-film,Artistic Curved Lid Φ98,PP,1000/Case,50pcs/pack,Φ98,/images/plastic_cup/lid_&_seal_fiml/artistic_curved_lid.png
18,Domed Lid,Contacts,lid-seal-film,"Domed Lid Φ98, Φ95, Φ90, Φ82, Φ117",PP,1000/Case,50pcs/pack,"Φ98, Φ95, Φ90, Φ82, Φ117",/images/plastic_cup/lid_&_seal_fiml/domed_lid.png
19,Flat Lid,Contacts,lid-seal-film,"Flat Lid Φ98, Φ95, Φ90, Φ82, Φ117, Φ140",PP,1000/Case,50pcs/pack,"Φ98, Φ95, Φ90, Φ82, Φ117, Φ140",/images/plastic_cup/lid_&_seal_fiml/flat_lid.png
20,Roll Seal Film,Contacts,lid-seal-film,Roll Seal Film,PE,6roll-8roll/Case,3000 pcs-3900pcs/roll,3000 pcs-3900pcs,/images/plastic_cup/lid_&_seal_fiml/roll_seal_film.png
21,98-14oz PET Cup,Contacts,pet-cup,98-14oz PET Cup,PET,1000/Case,50pcs/pack,14oz,/images/plastic_cup/pet_cup/98-14oz_pet_cup.png
22,98-16oz PET Cup,Contacts,pet-cup,98-16oz PET Cup,PET,1000/Case,50pcs/pack,16oz,/images/plastic_cup/pet_cup/98-16oz_pet_cup.png
23,98-20oz-22oz PET Cup,Contacts,pet-cup,98-20oz-22oz PET Cup,PET,1000/Case,50pcs/pack,20-22oz,/images/plastic_cup/pet_cup/98-20oz-22oz_pet_cup.png
24,98-24oz PET Cup,Contacts,pet-cup,98-24oz PET Cup,PET,1000/Case,50pcs/pack,24oz,/images/plastic_cup/pet_cup/98-24oz_pet_cup.png
25,98-32oz PET Cup,Contacts,pet-cup,98-32oz PET Cup,PET,1000/Case,50pcs/pack,32oz,/images/plastic_cup/pet_cup/98-32oz_pet_cup-_2.png
26,105-32oz PP Cup,Contacts,pp-cup,105-32oz PP Cup,PP,1000/Case,50pcs/pack,32oz,/images/plastic_cup/pp_cup/105-32oz_pp_cup_(22-32-40oz)_.png
27,7oz Striped Cup,Contacts,pp-cup,7oz Striped Cup (140ml-220ml-280ml-330ml -400ml-500ml-700ml),PP,1000/Case,50pcs/pack,140ml-220ml-280ml-330ml -400ml-500ml-700ml,/images/plastic_cup/pp_cup/7oz_striped_cup.png_(140_ml_-_700ml).png
28,90-PP Cup 16oz-22oz,Contacts,pp-cup,90-PP Cup 16oz-22oz16oz-18oz-20oz-220z,PP,1000/Case,50pcs/pack,16oz-18oz-20oz-220z,/images/plastic_cup/pp_cup/90-_pp_cup_16oz-22oz_.png
29,95-PP Cup 360ml-700ml,Contacts,pp-cup,95-PP Cup 300ml-360ml-400ml-480ml-500ml- 600ml-700ml,PP,1000/Case,50pcs/pack,300ml-360ml-400ml-480ml-500ml- 600ml-700ml,/images/plastic_cup/pp_cup/95-pp_cup_360ml-500ml_-700ml_.png
30,95-U Cup Clear 360ml-700ml,Contacts,pp-cup,95-U Cup Clear 360ml-500ml-700ml,PP,1000/Case,50pcs/pack,360ml-500ml-700ml,/images/plastic_cup/pp_cup/95-u_cup_clear_360ml-_500ml_-700ml_
31,U Cup Matte 700ml,Contacts,pp-cup,U Cup Matte 700ml,PP,1000/Case,50pcs/pack,700ml,/images/plastic_cup/pp_cup/u_cup_matte_700ml_.png
32,U Cup Matte U500-U700,Contacts,pp-cup,U Cup Matte U500-U700,PP,1000/Case,50pcs/pack,500-700ml,/images/plastic_cup/pp_cup/u_cup_matte_u500-u700.png
33,Roll Trash Bags,Contacts,plastic-roll,Roll Trash Bags 30mic-35mic,PE,1000/Case,50pcs/pack,30mic-35mic,/images/plastic_roll/roll_trash_bags.png
34,Vegetable Roll Bag,Contacts,plastic-roll,Vegetable Roll Bag12mic-13mic -15mic,PE,1000/Case,50pcs/pack,12mic-13mic -15mic,/images/plastic_roll/vegetable_roll_bag_.png
35,Paper Tray,Contacts,plate-tray,"Paper Tray 9""",Paper,1000/Case,50pcs/pack,"9""",/images/plate_&tray/paper_tray.png
36,Plastic Plate Round & Oval,Contacts,plate-tray,"Plastic Plate Round & Oval9""-12""",PET/PP,1000/Case,50pcs/pack,"9""-12""",/images/plate_&tray/plastic_plate_round_&_oval_.png
37,Plastic Tray,Contacts,plate-tray,Plastic Tray,PET/PP,1000/Case,50pcs/pack,(186x141x50 mm),/images/plate_&tray/plastic_tray.png
38,Portion Cup 1-5oz,Contacts,portion-cup,Portion Cup 1oz-2oz-3.25oz-4oz-5oz,PP,1000/Case,50pcs/pack,1oz-2oz-3.25oz-4oz-5oz,/images/portion_cup/portion_cup_1-5oz.png
39,Portion Cup 2oz PET,Contacts,portion-cup,Portion Cup 2oz PET2oz,PET,1000/Case,50pcs/pack,2oz,/images/portion_cup/portion_cup_2oz_pet.png
40,Portion Cup PP Black & Clear,Contacts,portion-cup,Portion Cup PP Black & Clear 2oz,PP,1000/Case,50pcs/pack,2oz,/images/portion_cup/portion_cup_pp_-_black_&_clear.png
41,Portion Cup With Hinged Lid,Contacts,portion-cup,Portion Cup With Hinged Lid 2oz-4oz,PP,1000/Case,50pcs/pack,2oz-4oz,/images/portion_cup/portion_cup_with_hinged_lid.png
42,Printed Paper Ice Cream Cups 1,Contacts,printed-products,Printed Paper Ice Cream Cups 14.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,Paper,1000/Case,50pcs/pack,4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,/images/printed_products/printed_paper_ice_cream_cups-_2.png
43,Printed Paper Ice Cream Cups 2,Contacts,printed-products,Printed Paper Ice Cream Cups 4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,Paper,1000/Case,50pcs/pack,4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,/images/printed_products/printed_paper_ice_cream_cups_-2.png
44,Print Kraft Bowl,Contacts,printed-products,Print Kraft Bowl 4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,Paper,1000/Case,50pcs/pack,4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,/images/printed_products/print_kraft_bowl_-1_.png
45,Print Paper Cup 1,Contacts,printed-products,Print Paper Cup 6oz-8oz-9oz-10oz-12oz-14oz-16oz-18oz 20oz-22oz,Paper,1000/Case,50pcs/pack,4oz-6oz-8oz-9oz-10oz-12oz-14oz-16oz-18oz 20oz-22oz,/images/printed_products/print_paper_cup_-1_.png
46,Print PET Cup 2,Contacts,printed-products,Print PET Cup 8oz-9oz-10oz-120z-16oz-18oz-20oz-22oz-240z-32oz,PET,1000/Case,50pcs/pack,8oz-9oz-10oz-120z-16oz-18oz-20oz-22oz-240z-32oz,/images/printed_products/print_pet_cup_-2_.png
47,Print White Bowl 1,Contacts,printed-products,Print White Bowl 4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,Paper,1000/Case,50pcs/pack,4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,/images/printed_products/print_white_bowl_1_.png
48,Print White Bowl 2,Contacts,printed-products,Print White Bowl 4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,Paper,1000/Case,50pcs/pack,4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,/images/printed_products/print_white_bowl_2.png
49,Print White Bowl 3,Contacts,printed-products,Print White Bowl 4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,Paper,1000/Case,50pcs/pack,4.5oz-5oz-7oz-8oz -10oz-13oz 16oz-18oz-20oz -220z-320z-36oz,/images/printed_products/print_white_bowl_3.png
50,Jumbo Clear Straw Unwrapped 8.75,Contacts,straw,"Jumbo Clear Straw Unwrapped 8.758.75""",PP,2000/Case,200pcs/pack,"8.75""",/images/straw/jumbo_clear_straw_unwrapped-__8.75_-_.png
51,Jumbo Straw Paper Wrapped,Contacts,straw,"Jumbo Straw Paper Wrapped8.75""",Paper,2000/Case,200pcs/pack,"8.75""",/images/straw/jumbo_straw_paper_wrapped_-_.png
52,Jumbo Straw Plastic Wrapped,Contacts,straw,"Jumbo Straw Plastic Wrapped8.75""",PP,2000/Case,200pcs/pack,"8.75""",/images/straw/jumbo_straw_plastic_wrapped.png
53,Plastic Flexible Straws 9.75,Contacts,straw,"Plastic Flexible Straws 9.759.75""",PP,4000/Case,400pcs/pack,"9.75""",/images/straw/plastic_flexible_straws-_9.75_.png
54,Plastic Straw,Contacts,straw,"Plastic Straw9.75""",PP,4000/Case,400pcs/pack,"9.75""",/images/straw/plastic_straw_.png
55,84-10oz PET Cup,Contacts,pet-cup,84-10oz PET Cup,PET,1000/Case,50pcs/pack,8oz-10oz,/images/plastic_cup/pet_cup/84-10oz_pet_cup_(8oz-10oz).png
56,93-9oz PET Cup,Contacts,pet-cup,93-9oz PET Cup,PET,1000/Case,50pcs/pack,9oz-12oz,/images/plastic_cup/pet_cup/93-9oz_pet_cup_(9oz-12oz).png
57,98-16oz PET Cup (1),Contacts,pet-cup,98-16oz PET Cup (1),PET,1000/Case,50pcs/pack,16oz,/images/plastic_cup/pet_cup/98-16oz_pet_cup(1).png
58,98-32oz PET Cup (1),Contacts,pet-cup,98-32oz PET Cup (1),PET,1000/Case,50pcs/pack,32oz,/images/plastic_cup/pet_cup/98-32oz_pet__cup_-1.png
