id,name,price,category,description,material,capacity,image
1,Ống hút giấy sinh học 6mm,25000,ong-hut-giay,Ống hút giấy thân thiện môi trường,Giấy kraft,6mm,https://images.unsplash.com/photo-1563171522-757f89d8cbe7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxwYXBlciUyMHN0cmF3cyUyMHN1c3RhaW5hYmxlfGVufDF8fHx8MTc3MDIxOTc2M3ww&ixlib=rb-4.1.0&q=80&w=1080
2,Ống hút giấy màu sắc 8mm,30000,ong-hut-giay,Ống hút giấy nhiều màu sắc tươi sáng,Giấy kraft,8mm,https://images.unsplash.com/photo-1563171522-757f89d8cbe7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxwYXBlciUyMHN0cmF3cyUyMHN1c3RhaW5hYmxlfGVufDF8fHx8MTc3MDIxOTc2M3ww&ixlib=rb-4.1.0&q=80&w=1080
3,Bát giấy 500ml,35000,bat-giay,Bát giấy chất lượng cao an toàn thực phẩm,Giấy,500ml,https://images.unsplash.com/photo-1597514402413-17eac2b501c0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxmb29kJTIwY29udGFpbmVycyUyMHBhY2thZ2luZ3xlbnwxfHx8fDE3NzAyMTk3NjR8MA&ixlib=rb-4.1.0&q=80&w=1080
4,Tô giấy 750ml,42000,bat-giay,Tô giấy cỡ lớn đựng soup và mì,Giấy,750ml,https://images.unsplash.com/photo-1597514402413-17eac2b501c0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxmb29kJTIwY29udGFpbmVycyUyMHBhY2thZ2luZ3xlbnwxfHx8fDE3NzAyMTk3NjR8MA&ixlib=rb-4.1.0&q=80&w=1080
5,Bát nhựa PP 400ml,38000,bat-nhua,Bát nhựa PP cao cấp bền đẹp,PP,400ml,https://images.unsplash.com/photo-1545165929-dced88ec03a2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxkaXNwb3NhYmxlJTIwcGxhc3RpYyUyMGN1cHxlbnwxfHx8fDE3NzAyMTk0NDR8MA&ixlib=rb-4.1.0&q=80&w=1080
6,Tô nhựa trong suốt 600ml,45000,bat-nhua,Tô nhựa trong suốt tiện dụng,PET,600ml,https://images.unsplash.com/photo-1545165929-dced88ec03a2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxkaXNwb3NhYmxlJTIwcGxhc3RpYyUyMGN1cHxlbnwxfHx8fDE3NzAyMTk0NDR8MA&ixlib=rb-4.1.0&q=80&w=1080
7,Chén giấy 300ml,28000,chen-giay,Chén giấy đựng tráng miệng,Giấy,300ml,https://images.unsplash.com/photo-1597514402413-17eac2b501c0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxmb29kJTIwY29udGFpbmVycyUyMHBhY2thZ2luZ3xlbnwxfHx8fDE3NzAyMTk3NjR8MA&ixlib=rb-4.1.0&q=80&w=1080
8,Chén nhựa 250ml,32000,chen-nhua,Chén nhựa nhỏ gọn tiện lợi,PP,250ml,https://images.unsplash.com/photo-1730273999506-6ac5dc4ef1ce?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxwbGFzdGljJTIwY3VwJTIwZHJpbmt8ZW58MXx8fHwxNzcwMjE5NDQ0fDA&ixlib=rb-4.1.0&q=80&w=1080
9,Khay giấy chữ nhật,35000,khay-giay,Khay giấy đựng thức ăn nhanh,Giấy,Medium,https://images.unsplash.com/photo-1751163781124-85bd6628de1e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxzZXJ2aW5nJTIwdHJheXMlMjBjYXRlcmluZ3xlbnwxfHx8fDE3NzAyMTk3NjR8MA&ixlib=rb-4.1.0&q=80&w=1080
10,Khay nhựa 5 ngăn,55000,khay-nhua,Khay nhựa 5 ngăn đa năng,PP,Large,https://images.unsplash.com/photo-1586574086326-f440257bc11b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxwbGFzdGljJTIwY3VwcyUyMGZhY3RvcnklMjBwcm9kdWN0aW9ufGVufDF8fHx8MTc3MDIxOTc2M3ww&ixlib=rb-4.1.0&q=80&w=1080
